"year","jurisdiction","cause_subgroup","deaths"
"2015","Alabama","Influenza and pneumonia","983"
"2015","Alabama","Renal failure","939"
"2015","Alabama","Heart failure","2478"
"2015","Alabama","Cerebrovascular diseases","2756"
"2015","Alabama","Other diseases of the respiratory system","1291"
"2015","Alabama","Other diseases of the circulatory system","5092"
"2015","Alabama","Diabetes","1163"
"2015","Alabama","Ischemic heart disease","4836"
"2015","Alabama","Hypertensive diseases","919"
"2015","Alabama","Chronic lower respiratory disease","3096"
"2015","Alabama","Sepsis","948"
"2015","Alabama","Alzheimer disease and dementia","4278"
"2015","Alabama","Malignant neoplasms","9737"
"2015","Alaska","Ischemic heart disease","203"
"2015","Alaska","Other diseases of the circulatory system","11"
"2015","Alaska","Alzheimer disease and dementia","11"
"2015","Alaska","Malignant neoplasms","902"
"2015","Arizona","Cerebrovascular diseases","2493"
"2015","Arizona","Renal failure","176"
"2015","Arizona","Sepsis","164"
"2015","Arizona","Alzheimer disease and dementia","4633"
"2015","Arizona","Hypertensive diseases","2200"
"2015","Arizona","Chronic lower respiratory disease","3689"
"2015","Arizona","Heart failure","528"
"2015","Arizona","Other diseases of the circulatory system","2803"
"2015","Arizona","Influenza and pneumonia","623"
"2015","Arizona","Other diseases of the respiratory system","1077"
"2015","Arizona","Malignant neoplasms","11859"
"2015","Arizona","Ischemic heart disease","7536"
"2015","Arizona","Diabetes","2081"
"2015","Arkansas","Diabetes","878"
"2015","Arkansas","Ischemic heart disease","4685"
"2015","Arkansas","Chronic lower respiratory disease","2236"
"2015","Arkansas","Other diseases of the respiratory system","347"
"2015","Arkansas","Influenza and pneumonia","577"
"2015","Arkansas","Other diseases of the circulatory system","1642"
"2015","Arkansas","Hypertensive diseases","1061"
"2015","Arkansas","Alzheimer disease and dementia","2607"
"2015","Arkansas","Renal failure","612"
"2015","Arkansas","Malignant neoplasms","6584"
"2015","Arkansas","Sepsis","200"
"2015","Arkansas","Heart failure","934"
"2015","Arkansas","Cerebrovascular diseases","1587"
"2015","California","Ischemic heart disease","38737"
"2015","California","Chronic lower respiratory disease","13641"
"2015","California","Cerebrovascular diseases","15065"
"2015","California","Influenza and pneumonia","6161"
"2015","California","Hypertensive diseases","10549"
"2015","California","Heart failure","6305"
"2015","California","Malignant neoplasms","59714"
"2015","California","Sepsis","1435"
"2015","California","Other diseases of the respiratory system","4403"
"2015","California","Other diseases of the circulatory system","13906"
"2015","California","Alzheimer disease and dementia","23534"
"2015","California","Diabetes","8827"
"2015","California","Renal failure","3470"
"2015","Colorado","Sepsis","263"
"2015","Colorado","Cerebrovascular diseases","1895"
"2015","Colorado","Heart failure","828"
"2015","Colorado","Hypertensive diseases","727"
"2015","Colorado","Chronic lower respiratory disease","2566"
"2015","Colorado","Ischemic heart disease","3902"
"2015","Colorado","Alzheimer disease and dementia","3404"
"2015","Colorado","Other diseases of the respiratory system","878"
"2015","Colorado","Influenza and pneumonia","452"
"2015","Colorado","Other diseases of the circulatory system","2396"
"2015","Colorado","Renal failure","169"
"2015","Colorado","Malignant neoplasms","7656"
"2015","Colorado","Diabetes","871"
"2015","Connecticut","Sepsis","489"
"2015","Connecticut","Influenza and pneumonia","512"
"2015","Connecticut","Other diseases of the circulatory system","2480"
"2015","Connecticut","Cerebrovascular diseases","1383"
"2015","Connecticut","Chronic lower respiratory disease","1365"
"2015","Connecticut","Heart failure","931"
"2015","Connecticut","Alzheimer disease and dementia","3122"
"2015","Connecticut","Ischemic heart disease","3765"
"2015","Connecticut","Diabetes","525"
"2015","Connecticut","Hypertensive diseases","575"
"2015","Connecticut","Malignant neoplasms","6689"
"2015","Connecticut","Other diseases of the respiratory system","967"
"2015","Connecticut","Renal failure","407"
"2015","Delaware","Malignant neoplasms","1981"
"2015","Delaware","Cerebrovascular diseases","242"
"2015","Delaware","Other diseases of the circulatory system","426"
"2015","Delaware","Influenza and pneumonia","23"
"2015","Delaware","Hypertensive diseases","12"
"2015","Delaware","Alzheimer disease and dementia","679"
"2015","Delaware","Chronic lower respiratory disease","311"
"2015","Delaware","Ischemic heart disease","1154"
"2015","District of Columbia","Alzheimer disease and dementia","22"
"2015","District of Columbia","Other diseases of the circulatory system","38"
"2015","District of Columbia","Hypertensive diseases","58"
"2015","District of Columbia","Malignant neoplasms","1258"
"2015","District of Columbia","Cerebrovascular diseases","46"
"2015","District of Columbia","Ischemic heart disease","722"
"2015","Florida","Other diseases of the respiratory system","3599"
"2015","Florida","Other diseases of the circulatory system","11521"
"2015","Florida","Alzheimer disease and dementia","15691"
"2015","Florida","Diabetes","5433"
"2015","Florida","Renal failure","3214"
"2015","Florida","Influenza and pneumonia","2713"
"2015","Florida","Malignant neoplasms","43697"
"2015","Florida","Sepsis","2377"
"2015","Florida","Chronic lower respiratory disease","11760"
"2015","Florida","Ischemic heart disease","29393"
"2015","Florida","Heart failure","3646"
"2015","Florida","Cerebrovascular diseases","11549"
"2015","Florida","Hypertensive diseases","5730"
"2015","Georgia","Cerebrovascular diseases","4311"
"2015","Georgia","Chronic lower respiratory disease","4610"
"2015","Georgia","Renal failure","1882"
"2015","Georgia","Ischemic heart disease","7705"
"2015","Georgia","Sepsis","1546"
"2015","Georgia","Other diseases of the respiratory system","2175"
"2015","Georgia","Diabetes","2205"
"2015","Georgia","Hypertensive diseases","2800"
"2015","Georgia","Influenza and pneumonia","1478"
"2015","Georgia","Other diseases of the circulatory system","5963"
"2015","Georgia","Heart failure","3105"
"2015","Georgia","Alzheimer disease and dementia","7307"
"2015","Georgia","Malignant neoplasms","17099"
"2015","Hawaii","Chronic lower respiratory disease","60"
"2015","Hawaii","Heart failure","46"
"2015","Hawaii","Cerebrovascular diseases","658"
"2015","Hawaii","Influenza and pneumonia","349"
"2015","Hawaii","Alzheimer disease and dementia","1050"
"2015","Hawaii","Other diseases of the circulatory system","919"
"2015","Hawaii","Malignant neoplasms","2457"
"2015","Hawaii","Hypertensive diseases","12"
"2015","Hawaii","Ischemic heart disease","1328"
"2015","Idaho","Malignant neoplasms","2796"
"2015","Idaho","Hypertensive diseases","12"
"2015","Idaho","Alzheimer disease and dementia","1259"
"2015","Idaho","Other diseases of the respiratory system","11"
"2015","Idaho","Chronic lower respiratory disease","823"
"2015","Idaho","Diabetes","107"
"2015","Idaho","Cerebrovascular diseases","510"
"2015","Idaho","Other diseases of the circulatory system","880"
"2015","Idaho","Heart failure","114"
"2015","Idaho","Influenza and pneumonia","24"
"2015","Idaho","Ischemic heart disease","1554"
"2015","Illinois","Alzheimer disease and dementia","9544"
"2015","Illinois","Other diseases of the circulatory system","6983"
"2015","Illinois","Heart failure","3874"
"2015","Illinois","Influenza and pneumonia","2236"
"2015","Illinois","Cerebrovascular diseases","5532"
"2015","Illinois","Chronic lower respiratory disease","5369"
"2015","Illinois","Ischemic heart disease","13073"
"2015","Illinois","Diabetes","2736"
"2015","Illinois","Renal failure","2431"
"2015","Illinois","Hypertensive diseases","3272"
"2015","Illinois","Sepsis","1714"
"2015","Illinois","Other diseases of the respiratory system","2470"
"2015","Illinois","Malignant neoplasms","24069"
"2015","Indiana","Renal failure","1468"
"2015","Indiana","Heart failure","1799"
"2015","Indiana","Influenza and pneumonia","979"
"2015","Indiana","Sepsis","1175"
"2015","Indiana","Cerebrovascular diseases","2915"
"2015","Indiana","Hypertensive diseases","1399"
"2015","Indiana","Diabetes","2054"
"2015","Indiana","Chronic lower respiratory disease","4254"
"2015","Indiana","Other diseases of the circulatory system","4374"
"2015","Indiana","Other diseases of the respiratory system","1508"
